date,location,total_cases,new_cases,total_deaths,population,cases_per_million,MA7,death_rate
2020-02-09,United States,12.0,0.0,0.0,331002647.0,0.03625348651668033,0.5714285714285714,0.0
2020-02-10,United States,12.0,0.0,0.0,331002647.0,0.03625348651668033,0.14285714285714285,0.0
2020-02-11,United States,13.0,1.0,0.0,331002647.0,0.039274610393070356,0.2857142857142857,0.0
2020-02-12,United States,13.0,0.0,0.0,331002647.0,0.039274610393070356,0.2857142857142857,0.0
2020-02-13,United States,14.0,1.0,0.0,331002647.0,0.042295734269460386,0.2857142857142857,0.0
2020-02-14,United States,15.0,1.0,0.0,331002647.0,0.04531685814585042,0.42857142857142855,0.0
2020-02-15,United States,15.0,0.0,0.0,331002647.0,0.04531685814585042,0.42857142857142855,0.0
2020-02-16,United States,15.0,0.0,0.0,331002647.0,0.04531685814585042,0.42857142857142855,0.0
2020-02-17,United States,15.0,0.0,0.0,331002647.0,0.04531685814585042,0.42857142857142855,0.0
2020-02-18,United States,15.0,0.0,0.0,331002647.0,0.04531685814585042,0.2857142857142857,0.0
2020-02-19,United States,15.0,0.0,0.0,331002647.0,0.04531685814585042,0.2857142857142857,0.0
2020-02-20,United States,15.0,0.0,0.0,331002647.0,0.04531685814585042,0.14285714285714285,0.0
2020-02-21,United States,16.0,1.0,0.0,331002647.0,0.04833798202224045,0.14285714285714285,0.0
2020-02-22,United States,35.0,19.0,0.0,331002647.0,0.10573933567365097,2.857142857142857,0.0
2020-02-23,United States,35.0,0.0,0.0,331002647.0,0.10573933567365097,2.857142857142857,0.0
2020-02-24,United States,35.0,0.0,0.0,331002647.0,0.10573933567365097,2.857142857142857,0.0
2020-02-25,United States,53.0,18.0,0.0,331002647.0,0.16011956544867145,5.428571428571429,0.0
2020-02-26,United States,53.0,0.0,0.0,331002647.0,0.16011956544867145,5.428571428571429,0.0
2020-02-27,United States,59.0,6.0,0.0,331002647.0,0.17824630870701166,6.285714285714286,0.0
2020-02-28,United States,60.0,1.0,0.0,331002647.0,0.18126743258340167,6.285714285714286,0.0
2020-02-29,United States,66.0,6.0,0.0,331002647.0,0.19939417584174185,4.428571428571429,0.0
2020-03-01,United States,69.0,3.0,1.0,331002647.0,0.2084575474709119,4.857142857142857,0.014492753623188406
2020-03-02,United States,89.0,20.0,2.0,331002647.0,0.26888002499871244,7.714285714285714,0.02247191011235955
2020-03-03,United States,103.0,14.0,6.0,331002647.0,0.31117575926817287,7.142857142857143,0.05825242718446602
2020-03-04,United States,125.0,22.0,9.0,331002647.0,0.3776404845487535,10.285714285714286,0.072
2020-03-05,United States,159.0,34.0,11.0,331002647.0,0.4803586963460144,14.285714285714286,0.06918238993710692
2020-03-06,United States,233.0,74.0,12.0,331002647.0,0.7039218631988765,24.714285714285715,0.05150214592274678
2020-03-07,United States,338.0,105.0,14.0,331002647.0,1.0211398702198295,38.857142857142854,0.04142011834319527
2020-03-08,United States,433.0,95.0,17.0,331002647.0,1.308146638476882,52.0,0.03926096997690531
2020-03-09,United States,554.0,121.0,21.0,331002647.0,1.6737026275200753,66.42857142857143,0.03790613718411552
2020-03-10,United States,754.0,200.0,26.0,331002647.0,2.277927402798081,93.0,0.034482758620689655
2020-03-11,United States,1025.0,271.0,28.0,331002647.0,3.0966519732997786,128.57142857142858,0.027317073170731707
2020-03-12,United States,1312.0,287.0,30.0,331002647.0,3.9637145258237165,164.71428571428572,0.022865853658536585
2020-03-13,United States,1663.0,351.0,40.0,331002647.0,5.024129006436616,204.28571428571428,0.024052916416115455
2020-03-14,United States,2174.0,511.0,47.0,331002647.0,6.56792330727192,262.2857142857143,0.021619135234590615
2020-03-15,United States,2951.0,777.0,57.0,331002647.0,8.915336559226972,359.7142857142857,0.0193154862758387
2020-03-16,United States,3774.0,823.0,69.0,331002647.0,11.401721509495964,460.0,0.018282988871224166
2020-03-17,United States,4661.0,887.0,85.0,331002647.0,14.08145838785392,558.1428571428571,0.018236429950654366
2020-03-18,United States,6427.0,1766.0,108.0,331002647.0,19.41676315355871,771.7142857142857,0.016804107670763964
2020-03-19,United States,9415.0,2988.0,150.0,331002647.0,28.443881296212112,1157.5714285714287,0.015932023366967606
2020-03-20,United States,14250.0,4835.0,150.0,331002647.0,43.051015238557895,1798.142857142857,0.010526315789473684
2020-03-21,United States,19624.0,5374.0,260.0,331002647.0,59.286534950277904,2492.8571428571427,0.013249082755809213
2020-03-22,United States,26747.0,7123.0,340.0,331002647.0,80.80600032180408,3399.4285714285716,0.012711705985718025
2020-03-23,United States,35206.0,8459.0,471.0,331002647.0,106.36168719218732,4490.285714285715,0.013378401408850764
2020-03-24,United States,46442.0,11236.0,590.0,331002647.0,140.30703506730566,5968.714285714285,0.012704017914818483
2020-03-25,United States,55231.0,8789.0,801.0,331002647.0,166.85969281689762,6972.0,0.014502724918976662
2020-03-26,United States,69194.0,13963.0,1050.0,331002647.0,209.04364550293158,8539.857142857143,0.015174726132323612
2020-03-27,United States,85991.0,16797.0,1296.0,331002647.0,259.7894632546549,10248.714285714286,0.015071344675605586
2020-03-28,United States,104686.0,18695.0,1707.0,331002647.0,316.26937412376645,12151.714285714286,0.0163059052786428
2020-03-29,United States,124665.0,19979.0,2191.0,331002647.0,376.6284080501628,13988.285714285714,0.01757510127140737
2020-03-30,United States,143025.0,18360.0,2509.0,331002647.0,432.0962424206837,15402.714285714286,0.01754238769445901
2020-03-31,United States,164620.0,21595.0,3170.0,331002647.0,497.33741253132644,16882.571428571428,0.01925646944478192
2020-04-01,United States,189618.0,24998.0,4079.0,331002647.0,572.8594671933242,19198.14285714286,0.021511670832937802
2020-04-02,United States,216721.0,27103.0,5138.0,331002647.0,654.7409876151232,21075.285714285714,0.023707900941763834
2020-04-03,United States,245540.0,28819.0,6053.0,331002647.0,741.8067566088074,22792.714285714286,0.024651787896065813
2020-04-04,United States,277965.0,32425.0,7157.0,331002647.0,839.7666983007541,24754.14285714286,0.02574784595182847
2020-04-05,United States,312237.0,34272.0,8501.0,331002647.0,943.3066557923931,26796.0,0.027226113497119175
2020-04-06,United States,337635.0,25398.0,9647.0,331002647.0,1020.0371600049472,27801.428571428572,0.028572274793786188
2020-04-07,United States,368196.0,30561.0,10989.0,331002647.0,1112.3657267913027,29082.285714285714,0.029845517061565036
2020-04-08,United States,398809.0,30613.0,12895.0,331002647.0,1204.8513920192304,29884.428571428572,0.03233377381152381
2020-04-09,United States,432132.0,33323.0,14817.0,331002647.0,1305.5243029521755,30773.0,0.0342881341812224
2020-04-10,United States,466033.0,33901.0,16690.0,331002647.0,1407.943423485674,31499.0,0.035812914536095086
2020-04-11,United States,501560.0,35527.0,18777.0,331002647.0,1515.2748914421823,31942.14285714286,0.03743719594864024
2020-04-12,United States,529951.0,28391.0,20608.0,331002647.0,1601.0476194167716,31102.0,0.038886614045449484
2020-04-13,United States,557571.0,27620.0,22108.0,331002647.0,1684.4910608826642,31419.428571428572,0.03965055571398082
2020-04-14,United States,582594.0,25023.0,23649.0,331002647.0,1760.088643641572,30628.285714285714,0.0405925910668493
2020-04-15,United States,609516.0,26922.0,26057.0,331002647.0,1841.4233406417443,30101.0,0.04275031336338997
2020-04-16,United States,639664.0,30148.0,30985.0,331002647.0,1932.5041832671507,29647.428571428572,0.04843949323394782
2020-04-17,United States,671331.0,31667.0,33284.0,331002647.0,2028.1741130607936,29328.285714285714,0.049579119689095244
2020-04-18,United States,702164.0,30833.0,37054.0,331002647.0,2121.3244255415275,28657.714285714286,0.05277114748121522
2020-04-19,United States,735086.0,32922.0,38910.0,331002647.0,2220.78586580004,29305.0,0.052932582038020044
2020-04-20,United States,759687.0,24601.0,40682.0,331002647.0,2295.108534283111,28873.714285714286,0.053551001925793124
2020-04-21,United States,787752.0,28065.0,42539.0,331002647.0,2379.896375873997,29308.285714285714,0.054000497618539846
2020-04-22,United States,825041.0,37289.0,45063.0,331002647.0,2492.551064100705,30789.285714285714,0.05461910377787286
2020-04-23,United States,842629.0,17588.0,46784.0,331002647.0,2545.686590838653,28995.0,0.05552146911630148
2020-04-24,United States,869172.0,26543.0,49963.0,331002647.0,2625.876281889673,28263.0,0.05748344401338285
